2010/12/02,551,267口,"54,300円",366口,"18,100円",370口,"36,200円",379口,"9,000円",415口,"5,400円","89,363,800円"
2010/12/03,206,76口,"107,200円",382口,"17,800円",245口,"62,500円",814口,"8,900円",419口,"10,700円","93,484,400円"
2010/12/06,971,86口,"114,800円",735口,"19,100円",155口,"66,900円","1,355口","9,500円",408口,"11,400円","115,552,200円"
2010/12/07,947,48口,"114,600円",424口,"19,100円",157口,"66,800円",886口,"9,500円",568口,"11,400円","86,866,200円"
2010/12/08,583,107口,"62,500円",904口,"10,400円",291口,"36,400円","1,955口","5,200円",414口,"6,200円","87,787,800円"
2010/12/09,074,62口,"145,200円",334口,"24,200円",105口,"84,700円",696口,"12,100円",359口,"14,500円","88,062,400円"
2010/12/10,943,102口,"91,800円",489口,"15,300円",261口,"53,500円","1,151口","7,600円",456口,"9,100円","97,387,200円"
2010/12/13,180,104口,"106,800円",621口,"17,800円",179口,"62,300円","1,248口","8,900円",453口,"10,600円","109,514,200円"
2010/12/14,435,71口,"95,200円",520口,"15,800円",202口,"55,500円",921口,"7,900円",612口,"9,500円","87,495,800円"
2010/12/15,393,70口,"132,100円",200口,"44,000円",132口,"88,000円",331口,"22,000円",488口,"13,200円","96,538,200円"
2010/12/16,665,106口,"121,200円",180口,"40,400円",130口,"80,800円",306口,"20,200円",547口,"12,100円","96,534,600円"
2010/12/17,069,71口,"117,900円",419口,"19,600円",184口,"68,700円",879口,"9,800円",687口,"11,700円","102,241,800円"
2010/12/20,810,139口,"95,800円",644口,"15,900円",281口,"55,800円","1,164口","7,900円",720口,"9,500円","123,390,200円"
2010/12/21,554,152口,"88,900円",242口,"29,600円",200口,"59,200円",260口,"14,800円",622口,"8,800円","93,253,400円"
2010/12/22,819,113口,"63,700円",830口,"10,600円",369口,"37,100円","1,794口","5,300円",570口,"6,300円","95,398,800円"
2010/12/23,016,63口,"110,800円",509口,"18,400円",152口,"64,600円","1,099口","9,200円",375口,"11,000円","90,054,600円"
2010/12/24,157,106口,"76,900円",790口,"12,800円",306口,"44,800円","1,664口","6,400円",586口,"7,600円","104,947,000円"
2010/12/27,384,162口,"92,300円",684口,"15,300円",253口,"53,800円","1,204口","7,600円",597口,"9,200円","119,738,000円"
2010/12/28,176,66口,"120,800円",457口,"20,100円",142口,"70,400円","1,074口","10,000円",462口,"12,000円","96,828,200円"
2010/12/29,749,85口,"103,000円",469口,"17,100円",215口,"60,000円","1,079口","8,500円",464口,"10,300円","97,329,600円"
2010/12/30,349,78口,"109,900円",524口,"18,300円",191口,"64,100円","1,122口","9,100円",349口,"10,900円","99,018,000円"
